# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 25 12:58:17 CDT 2022 [seed=1653501485735]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(RUTI)	age(RUTI)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-182406.443927311	-2256.798929830534	-180149.64499748044	2023.701808569979	-3.7018085699789935	2083.5500232340833	8.507029067392002	2011.492970932608	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-180149.64499748044	0.0	-176.42385531875425
1000	-126439.93132375431	-1567.1642205284454	-124872.76710322587	2331.860972696517	-311.8609726965169	3355.601765213155	9.850272719764732	2010.1497272802353	9.13601526310516	1.140188450199756	0.24715494311121228	0.24404965236703954	0.2477071963168322	0.2610882082049159	0.2795949083887277	0.27959490838872764	-124872.76710322587	0.0	-631.1438030111278
2000	-101815.43530801505	-1014.2531158409272	-100801.18219217412	2309.536440798272	-289.536440798272	3217.6500744309	9.694714330324043	2010.3052856696759	17.80329338342218	1.140188450199756	0.24211901040680345	0.23448662884200863	0.2538081990306789	0.2695861617205089	0.14673060659996456	0.14673060659996456	-100801.18219217412	0.0	-543.9483419151402
3000	-84595.58159070669	-808.0783675834564	-83787.50322312323	2166.0091414184494	-146.00914141844942	2763.060289308361	9.694714330324043	2010.3052856696759	21.104090678389866	1.1427768275833152	0.24386922291176585	0.2276584332121493	0.25705033552218953	0.27142200835389524	0.10184462057770502	0.10184462057770502	-83787.50322312323	0.0	-528.4338410853044
4000	-72374.42342712617	-715.8973282158556	-71658.52609891031	2115.8282769667653	-95.82827696676532	2653.359260963817	9.694714330324043	2010.3052856696759	24.27074578710729	1.2295657231298447	0.23768707782174445	0.22715750735245932	0.2569794601258997	0.27817595469989653	0.06700809510562296	0.06700809510562296	-71658.52609891031	0.0	-539.8740162207813
5000	-61625.46547948826	-697.5166273210845	-60927.948852167174	2091.236698296853	-71.23669829685286	2609.333385005095	9.998879575296307	2010.0011204247037	24.76811032601165	1.2295657231298447	0.24228685255571164	0.22017075373153527	0.24740144618185295	0.2901409475309001	0.061921342723823145	0.061921342723823145	-60927.948852167174	0.0	-537.727261425956
6000	-53310.92484496316	-665.5726112987376	-52645.352233664424	2060.2624194250593	-40.262419425059306	2568.760929951759	9.74598866638705	2010.2540113336129	19.66420055723755	1.329050623529671	0.2515342187054826	0.2134720068833969	0.24944354445503034	0.28555022995609014	0.04550393563587534	0.045503935635875334	-52645.352233664424	0.0	-550.8046578270072
7000	-47912.808250384645	-781.3632812698742	-47131.444969114775	2085.368236514791	-65.36823651479108	4644.772679435964	10.082955777934998	2009.917044222065	41.21962212548019	1.329050623529671	0.2456073212123743	0.2134720068833969	0.24913830465337214	0.2917823672508567	0.03491999344012146	0.03491999344012146	-47131.444969114775	0.0	-620.9770426930179
8000	-45474.19214177913	-684.4997560849412	-44789.69238569419	2058.8887842082345	-38.88878420823448	3112.2177445799007	10.133797456097557	2009.8662025439025	34.021652897396656	1.2336353775279614	0.2483205026318892	0.21159378101813442	0.2497151994942914	0.290370516855685	0.03491999344012146	0.03491999344012147	-44789.69238569419	0.0	-577.6606465290446
9000	-43871.571506677144	-666.5479646013881	-43205.02354207576	2053.1018923086913	-33.101892308691276	3063.4402329664763	10.113190668233406	2009.8868093317667	24.368536689641374	1.2336353775279614	0.24395183244077692	0.2159624512092467	0.2497151994942914	0.290370516855685	0.0335523716315471	0.03355237163154709	-43205.02354207576	0.0	-565.9475749360538
10000	-40479.45000388724	-642.22880003696	-39837.221203850284	2056.561104778682	-36.561104778681965	3009.65694639445	11.397289523758282	2008.6027104762418	25.56926617307278	1.2250206455378798	0.2512214678990214	0.2110257276154543	0.24738228762983935	0.290370516855685	0.03023951851046509	0.030239518510465087	-39837.221203850284	0.0	-553.4019918073743
11000	-38845.041569005334	-609.9640659633295	-38235.077503042005	2064.5828035570985	-44.58280355709849	2784.987356183571	11.397289523758282	2008.6027104762418	22.420843641170183	1.2946185981097342	0.24736011597604945	0.21066249191876588	0.257192577926647	0.2847848141785377	0.02846718527750491	0.028467185277504907	-38235.077503042005	0.0	-532.9618432352423
12000	-38013.95615458185	-640.7554288007717	-37373.20072578108	2064.1365491914485	-44.136549191448466	3033.876957017599	11.468551007291728	2008.5314489927082	27.604025784327735	1.2946185981097342	0.25284737492656345	0.21405089857144277	0.24584691223416477	0.287254814267829	0.02659741859087248	0.02659741859087248	-37373.20072578108	0.0	-562.2094591079823
13000	-35623.516544740945	-659.7597425303275	-34963.75680221062	2079.2315076100754	-59.23150761007537	3219.4777085505607	11.391004599816343	2008.6089954001836	24.766945519124405	1.3308977039992258	0.24736997068858693	0.2190456391997658	0.25026334536021816	0.2833210447514291	0.020534794496935765	0.02053479449693576	-34963.75680221062	0.0	-596.0484811293115
