Strain	O	H	Serotype	MLST	Phylogroup	Country	Disease	Year
81009	O25	H4	O25H4	43	B2 	United-Arab-Emirates	AUTI	2009
M160133	O15	H45	O15H45	Not Hit	F	USA	AUTI	2016
CH611_eco	O101	H9	O101H9	741	A	China	Intra-abdominal infections	2015
XH990	O86	H51	O86H51	31	D	China	Intracranial_Injury	2016
XH990.2	O86	H51	O86H51	31	D	China	Intracranial_Injury	2016
XH992	O153	H34	O153H34	39	F	China	Intracranial_Injury	2016
XH992.2	O153	H34	O153H34	39	F	China	Intracranial_Injury	2016
XH993	O5	H4	O5H4	83	A	China	Intracranial_Injury	2016
XH993.2	O5	H4	O5H4	83	A	China	Intracranial_Injury	2016
52148	O101	H21	O101H21	437	A	Czech	Kidney_transplantation	2019
EC25	Not Hit	H9	H9	471	A	China	Pulmonary_infection	2017
U12A	O25	H4	O25H4	43	B2 	USA	RUTI	2012
YD786	Not Hit	H9	H9	471	A	USA	RUTI	2012
U13A	O26	H5	O25H4	43	B2 	USA	RUTI	2013
U14A	O27	H6	O25H4	43	B2 	USA	RUTI	2014
U15A	O28	H7	O25H4	43	B2 	USA	RUTI	2015
UPEC-774U_190308	O75	H5	O75H5	1193	B2 	Mexico	RUTI	2020
UPEC-245U_190328	O141	H5	O141H5	295	B1	Mexico	RUTI	2020
UPEC-455U_19220	O75	H5	O75H5	1193	B2 	Mexico	RUTI	2020
201609	O24	H4	O25H4	Not Hit	D	China	RUTI	2016
201609.2	O24	H4	O25H4	Not Hit	D	China	RUTI	2016
EcPNK004	O15	H1	O15H1	494	F	USA	RUTI	2017
EcPNK006	O15	H1	O15H1	736	A	USA	RUTI	2017
EcPNK006.2	O15	H1	O15H1	736	A	USA	RUTI	2017
EcPF14	O25	H1	O25H1	199	B2 	USA	RUTI	2018
EcPF15	O17/O44/O77	H18	O17/O44/O77H18	77	D	USA	RUTI	2018
EcPF16	O127	H4	O127H4	960	A	USA	RUTI	2018
EcPF18	O25	H4	O25H4	43	B2 	USA	RUTI	2018
EcPF20	O8	H25	O8H25	24	B1	USA	RUTI	2018
EcPF5	O6	H1	O6H1	4	B2 	USA	RUTI	2018
EcPF7	O25	H4	O25H4	43	B2 	USA	RUTI	2018
EcPF40	O75	H5	O75H5	53	B2 	USA	RUTI	2019
SCAID-URN1-2019	O23	H16	O23H16	129	B2 	Kazakhstan	RUTI	2019
EC2	O101	H9	O101H9	2	A	USA	Sepsis	2017
